geoName,Anthropic
Alabama,51
Alaska,0
Arizona,55
Arkansas,0
California,76
Colorado,86
Connecticut,80
Delaware,0
District of Columbia,0
Florida,55
Georgia,55
Hawaii,0
Idaho,0
Illinois,60
Indiana,94
Iowa,0
Kansas,100
Kentucky,62
Louisiana,84
Maine,0
Maryland,62
Massachusetts,84
Michigan,59
Minnesota,54
Mississippi,0
Missouri,34
Montana,0
Nebraska,0
Nevada,65
New Hampshire,0
New Jersey,57
New Mexico,0
New York,75
North Carolina,81
North Dakota,0
Ohio,59
Oklahoma,0
Oregon,56
Pennsylvania,67
Rhode Island,0
South Carolina,61
South Dakota,0
Tennessee,60
Texas,60
Utah,94
Vermont,0
Virginia,73
Washington,100
West Virginia,0
Wisconsin,61
Wyoming,0
