geoName,Meta AI
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,100
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,47
Georgia,47
Hawaii,0
Idaho,0
Illinois,30
Indiana,57
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,85
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,65
New Mexico,0
New York,68
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,83
Pennsylvania,30
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,49
Utah,0
Vermont,0
Virginia,75
Washington,79
West Virginia,0
Wisconsin,0
Wyoming,0
