geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,22
Arkansas,0
California,100
Colorado,50
Connecticut,62
Delaware,0
District of Columbia,0
Florida,50
Georgia,50
Hawaii,0
Idaho,0
Illinois,42
Indiana,26
Iowa,54
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,47
Massachusetts,72
Michigan,26
Minnesota,40
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,51
New Hampshire,0
New Jersey,55
New Mexico,0
New York,79
North Carolina,32
North Dakota,0
Ohio,24
Oklahoma,0
Oregon,48
Pennsylvania,44
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,43
Texas,42
Utah,63
Vermont,0
Virginia,78
Washington,88
West Virginia,0
Wisconsin,0
Wyoming,0
