geoName,Anthropic
Alabama,15
Alaska,0
Arizona,21
Arkansas,0
California,77
Colorado,40
Connecticut,37
Delaware,0
District of Columbia,96
Florida,25
Georgia,29
Hawaii,0
Idaho,0
Illinois,28
Indiana,16
Iowa,13
Kansas,18
Kentucky,0
Louisiana,9
Maine,26
Maryland,31
Massachusetts,63
Michigan,23
Minnesota,21
Mississippi,0
Missouri,13
Montana,0
Nebraska,0
Nevada,28
New Hampshire,61
New Jersey,49
New Mexico,0
New York,59
North Carolina,22
North Dakota,0
Ohio,16
Oklahoma,15
Oregon,37
Pennsylvania,23
Rhode Island,0
South Carolina,11
South Dakota,0
Tennessee,15
Texas,27
Utah,29
Vermont,58
Virginia,41
Washington,100
West Virginia,0
Wisconsin,9
Wyoming,0
